Class,NFI code,Common name,Scientific name
0,Non treed
1,ABIE.AMA,Amabilis fir,Abies amabilis
2,ABIE.BAL,Balsam fir,Abies balsamea
3,ABIE.LAS,Subalpine fir,Abies lasiocarpa
4,ACER.MAC,Bigleaf maple,Acer macrophyllum 
5,ACER.RUB,Red maple,Acer rubrum
6,ACER.SAH,Sugar maple,Acer saccharum
7,ALNU.INC,Gray alder,Alnus incana
8,ALNU.RUB,Red alder,Alnus rubra
9,BETU.ALL,Yellow birch,Betula alleghaniensis
10,BETU.PAP,White birch,Betula papyrifera
11,CHAM.NOO,Yellow-cedar,Chamaecyparis nootkatensis
12,FRAX.NIG,Black ash,Fraxinus nigra
13,LARI.LAR,Tamarack,Larix laricina
14,LARI.OCC,Western larch,Larix occidentalis
15,PICE.ABI,Norway spruce,Picea abies
16,PICE.ENG,Engelmann spruce,Picea engelmannii
17,PICE.GLA,White spruce,Picea glauca
18,PICE.MAR,Black spruce,Picea mariana
19,PICE.RUB,Red spruce,Picea rubens
20,PICE.SIT,Sitka spruce,Picea sitchensis
21,PINU.ALB,Whitebark pine,Pinus albicaulis
22,PINU.BAN,Jack pine,Pinus banksiana
23,PINU.CON,Lodgepole pine,Pinus contorta
24,PINU.PON,Ponderosa pine ,Pinus ponderosa
25,PINU.RES,Red pine,Pinus resinosa
26,PINU.STR,Eastern white pine ,Pinus strobus
27,POPU.BAL,Balsam poplar,Populus balsamifera
28,POPU.GRA,Largetooth aspen,Populus grandidentata
29,POPU.TRE,Trembling aspen,Populus tremuloides
30,PSEU.MEN,Douglas-fir,Pseudotsuga menziesii
31,QUER.RUB,Red oak,Quercus rubra
32,THUJ.OCC,Eastern white-cedar,Thuja occidentalis
33,THUJ.PLI,Western redcedar,Thuja plicata
34,TSUG.CAN,Eastern hemlock,Tsuga canadensis
35,TSUG.HET,Western hemlock,Tsuga heterophylla 
36,TSUG.MER,Mountain hemlock,Tsuga mertensiana
37,ULMU.AME,White elm,Ulmus americana